category_english,orders,gmv,freight,avg_price,avg_freight,avg_review_score,low_rating_count,delivered_orders,late_count,avg_lead_time_days,revenue,freight_ratio_pct,low_rating_rate_pct,late_rate_pct,price_diff_vs_baseline,freight_diff_vs_baseline,review_diff_vs_baseline,low_rating_diff_vs_baseline,late_rate_diff_vs_baseline
home_appliances,764,80171.53,14818.9,104.93655759162303,19.396465968586387,4.143979057591623,98,747,50,11.311721128340524,94990.43,18.48399300849067,12.827225130890053,6.693440428380187,-32.81344240837697,-3.423534031413613,0.0739790575916226,-2.2127748691099463,-1.4165595716198123
agro_industry_and_commerce,182,72530.47,5843.6,398.51906593406596,32.10769230769231,4.021978021978022,27,177,9,11.432300428960033,78374.07,8.05675187269571,14.835164835164836,5.084745762711865,260.76906593406596,9.28769230769231,-0.048021978021978384,-0.2048351648351634,-3.0252542372881344
furniture_living_room,415,68637.39,17807.89,165.39130120481929,42.91057831325301,4.026506024096386,63,407,35,13.985994261306761,86445.28,25.944882228184955,15.180722891566264,8.5995085995086,27.641301204819285,20.090578313253012,-0.04349397590361459,0.1407228915662646,0.48950859950859993
fixed_telephony,216,59627.5,4631.53,276.05324074074076,21.442268518518517,3.8796296296296298,42,211,11,12.558761628927506,64259.03,7.76743952035554,19.444444444444446,5.213270142180095,138.30324074074076,-1.377731481481483,-0.19037037037037052,4.404444444444447,-2.8967298578199046
home_confort,373,57993.91,8620.36,155.47965147453084,23.11088471849866,3.9195710455764075,68,368,39,13.615084949929548,66614.27,14.864250401464568,18.230563002680967,10.597826086956522,17.72965147453084,0.2908847184986598,-0.15042895442359283,3.1905630026809675,2.487826086956522
air_conditioning,253,55207.95,6810.4,218.21324110671935,26.918577075098813,3.9802371541501977,45,246,10,11.88108904509184,62018.35,12.33590452099743,17.786561264822133,4.0650406504065035,80.46324110671935,4.098577075098813,-0.08976284584980254,2.746561264822134,-4.044959349593496
audio,348,51922.5,5747.95,149.20258620689654,16.517097701149424,3.824712643678161,77,346,45,13.516235381877543,57670.45,11.0702489286918,22.126436781609197,13.005780346820808,11.452586206896541,-6.302902298850576,-0.2452873563218394,7.086436781609198,4.895780346820809
small_appliances_home_oven_and_coffee,75,47445.71,2747.86,632.6094666666667,36.638133333333336,4.293333333333333,8,72,5,9.927397762345679,50193.57,5.791587901203291,10.666666666666668,6.944444444444445,494.85946666666666,13.818133333333336,0.22333333333333272,-4.373333333333331,-1.1655555555555548
books_general_interest,509,46869.88,9206.32,92.082278978389,18.087072691552063,4.461689587426326,42,493,34,11.54264328797802,56076.2,19.642294795719554,8.25147347740668,6.896551724137931,-45.667721021611,-4.7329273084479375,0.39168958742632576,-6.788526522593319,-1.2134482758620688
kitchen_dining_laundry_garden_furniture,244,46282.97,11901.8,189.68430327868853,48.777868852459015,4.032786885245901,34,237,11,11.913612625019534,58184.770000000004,25.715290094823214,13.934426229508196,4.641350210970464,51.93430327868853,25.957868852459015,-0.03721311475409905,-1.1055737704918034,-3.468649789029535
